zipcode,ziptype,postalcity,zcta5,bcode,note,puma,pumaname
10001,ZIP Code area,New York,10001,36061,,03807,"Chelsea, Clinton & Midtown Business District"
10118,Post Office or large volume customer,New York,10001,36061,,03807,"Chelsea, Clinton & Midtown Business District"
10120,Post Office or large volume customer,New York,10001,36061,,03807,"Chelsea, Clinton & Midtown Business District"
10122,Post Office or large volume customer,New York,10001,36061,,03807,"Chelsea, Clinton & Midtown Business District"
10123,Post Office or large volume customer,New York,10001,36061,,03807,"Chelsea, Clinton & Midtown Business District"
10125,Post Office or large volume customer,New York,10001,36061,,03807,"Chelsea, Clinton & Midtown Business District"
10130,Post Office or large volume customer,New York,10001,36061,,03807,"Chelsea, Clinton & Midtown Business District"
10002,ZIP Code area,New York,10002,36061,,03809,Chinatown & Lower East Side
10003,ZIP Code area,New York,10003,36061,,03809,Chinatown & Lower East Side
10114,Post Office or large volume customer,New York,10003,36061,,03809,Chinatown & Lower East Side
10276,Post Office or large volume customer,New York,10003,36061,,03809,Chinatown & Lower East Side
10004,ZIP Code area,New York,10004,36061,,03810,"Battery Park City, Greenwich Village & Soho"
10041,Post Office or large volume customer,New York,10004,36061,,03810,"Battery Park City, Greenwich Village & Soho"
10045,Post Office or large volume customer,New York,10004,36061,,03810,"Battery Park City, Greenwich Village & Soho"
10274,Post Office or large volume customer,New York,10004,36061,,03810,"Battery Park City, Greenwich Village & Soho"
10275,Post Office or large volume customer,New York,10004,36061,,03810,"Battery Park City, Greenwich Village & Soho"
10005,ZIP Code area,New York,10005,36061,,03810,"Battery Park City, Greenwich Village & Soho"
10043,Post Office or large volume customer,New York,10005,36061,,03810,"Battery Park City, Greenwich Village & Soho"
10081,Post Office or large volume customer,New York,10005,36061,,03810,"Battery Park City, Greenwich Village & Soho"
10203,Post Office or large volume customer,New York,10005,36061,,03810,"Battery Park City, Greenwich Village & Soho"
10257,Post Office or large volume customer,New York,10005,36061,,03810,"Battery Park City, Greenwich Village & Soho"
10260,Post Office or large volume customer,New York,10005,36061,,03810,"Battery Park City, Greenwich Village & Soho"
10265,Post Office or large volume customer,New York,10005,36061,,03810,"Battery Park City, Greenwich Village & Soho"
10268,Post Office or large volume customer,New York,10005,36061,,03810,"Battery Park City, Greenwich Village & Soho"
10269,Post Office or large volume customer,New York,10005,36061,,03810,"Battery Park City, Greenwich Village & Soho"
10270,Post Office or large volume customer,New York,10005,36061,,03810,"Battery Park City, Greenwich Village & Soho"
10286,Post Office or large volume customer,New York,10005,36061,,03810,"Battery Park City, Greenwich Village & Soho"
10006,ZIP Code area,New York,10006,36061,,03810,"Battery Park City, Greenwich Village & Soho"
10256,Post Office or large volume customer,New York,10006,36061,,03810,"Battery Park City, Greenwich Village & Soho"
10007,ZIP Code area,New York,10007,36061,,03810,"Battery Park City, Greenwich Village & Soho"
10008,Post Office or large volume customer,New York,10007,36061,,03810,"Battery Park City, Greenwich Village & Soho"
10242,Post Office or large volume customer,New York,10007,36061,,03810,"Battery Park City, Greenwich Village & Soho"
10249,Post Office or large volume customer,New York,10007,36061,,03810,"Battery Park City, Greenwich Village & Soho"
10009,ZIP Code area,New York,10009,36061,,03809,Chinatown & Lower East Side
10010,ZIP Code area,New York,10010,36061,,03808,"Murray Hill, Gramercy & Stuyvesant Town"
10159,Post Office or large volume customer,New York,10010,36061,,03808,"Murray Hill, Gramercy & Stuyvesant Town"
10160,Post Office or large volume customer,New York,10010,36061,,03808,"Murray Hill, Gramercy & Stuyvesant Town"
10011,ZIP Code area,New York,10011,36061,,03807,"Chelsea, Clinton & Midtown Business District"
10113,Post Office or large volume customer,New York,10011,36061,,03807,"Chelsea, Clinton & Midtown Business District"
10161,Post Office or large volume customer,New York,10011,36061,,03807,"Chelsea, Clinton & Midtown Business District"
10012,ZIP Code area,New York,10012,36061,,03810,"Battery Park City, Greenwich Village & Soho"
10013,ZIP Code area,New York,10013,36061,,03810,"Battery Park City, Greenwich Village & Soho"
10213,Post Office or large volume customer,New York,10013,36061,,03810,"Battery Park City, Greenwich Village & Soho"
10014,ZIP Code area,New York,10014,36061,,03810,"Battery Park City, Greenwich Village & Soho"
10016,ZIP Code area,New York,10016,36061,,03808,"Murray Hill, Gramercy & Stuyvesant Town"
10138,Post Office or large volume customer,New York,10016,36061,,03808,"Murray Hill, Gramercy & Stuyvesant Town"
10156,Post Office or large volume customer,New York,10016,36061,,03808,"Murray Hill, Gramercy & Stuyvesant Town"
10157,Post Office or large volume customer,New York,10016,36061,,03808,"Murray Hill, Gramercy & Stuyvesant Town"
10158,Post Office or large volume customer,New York,10016,36061,,03808,"Murray Hill, Gramercy & Stuyvesant Town"
10017,ZIP Code area,New York,10017,36061,,03808,"Murray Hill, Gramercy & Stuyvesant Town"
10087,Post Office or large volume customer,New York,10017,36061,,03808,"Murray Hill, Gramercy & Stuyvesant Town"
10163,Post Office or large volume customer,New York,10017,36061,,03808,"Murray Hill, Gramercy & Stuyvesant Town"
10164,Post Office or large volume customer,New York,10017,36061,,03808,"Murray Hill, Gramercy & Stuyvesant Town"
10166,Post Office or large volume customer,New York,10017,36061,,03808,"Murray Hill, Gramercy & Stuyvesant Town"
10175,Post Office or large volume customer,New York,10017,36061,,03808,"Murray Hill, Gramercy & Stuyvesant Town"
10178,Post Office or large volume customer,New York,10017,36061,,03808,"Murray Hill, Gramercy & Stuyvesant Town"
10179,Post Office or large volume customer,New York,10017,36061,,03808,"Murray Hill, Gramercy & Stuyvesant Town"
10259,Post Office or large volume customer,New York,10017,36061,,03808,"Murray Hill, Gramercy & Stuyvesant Town"
10261,Post Office or large volume customer,New York,10017,36061,,03808,"Murray Hill, Gramercy & Stuyvesant Town"
10018,ZIP Code area,New York,10018,36061,,03807,"Chelsea, Clinton & Midtown Business District"
10129,Post Office or large volume customer,New York,10018,36061,,03807,"Chelsea, Clinton & Midtown Business District"
10019,ZIP Code area,New York,10019,36061,,03807,"Chelsea, Clinton & Midtown Business District"
10101,Post Office or large volume customer,New York,10019,36061,,03807,"Chelsea, Clinton & Midtown Business District"
10102,Post Office or large volume customer,New York,10019,36061,,03807,"Chelsea, Clinton & Midtown Business District"
10104,Post Office or large volume customer,New York,10019,36061,,03807,"Chelsea, Clinton & Midtown Business District"
10105,Post Office or large volume customer,New York,10019,36061,,03807,"Chelsea, Clinton & Midtown Business District"
10106,Post Office or large volume customer,New York,10019,36061,,03807,"Chelsea, Clinton & Midtown Business District"
10107,Post Office or large volume customer,New York,10019,36061,,03807,"Chelsea, Clinton & Midtown Business District"
10020,ZIP Code area,New York,10020,36061,,03807,"Chelsea, Clinton & Midtown Business District"
10021,ZIP Code area,New York,10021,36061,,03805,Upper East Side
10131,Post Office or large volume customer,New York,10021,36061,,03805,Upper East Side
10022,ZIP Code area,New York,10022,36061,,03808,"Murray Hill, Gramercy & Stuyvesant Town"
10055,Post Office or large volume customer,New York,10022,36061,,03808,"Murray Hill, Gramercy & Stuyvesant Town"
10126,Post Office or large volume customer,New York,10022,36061,,03808,"Murray Hill, Gramercy & Stuyvesant Town"
10150,Post Office or large volume customer,New York,10022,36061,,03808,"Murray Hill, Gramercy & Stuyvesant Town"
10151,Post Office or large volume customer,New York,10022,36061,,03808,"Murray Hill, Gramercy & Stuyvesant Town"
10155,Post Office or large volume customer,New York,10022,36061,,03808,"Murray Hill, Gramercy & Stuyvesant Town"
10023,ZIP Code area,New York,10023,36061,,03806,Upper West Side & West Side
10133,Post Office or large volume customer,New York,10023,36061,,03806,Upper West Side & West Side
10024,ZIP Code area,New York,10024,36061,,03806,Upper West Side & West Side
10132,Post Office or large volume customer,New York,10024,36061,,03806,Upper West Side & West Side
10025,ZIP Code area,New York,10025,36061,,03806,Upper West Side & West Side
10026,ZIP Code area,New York,10026,36061,,03803,Central Harlem
10027,ZIP Code area,New York,10027,36061,,03802,"Hamilton Heights, Manhattanville & West Harlem"
10116,Post Office or large volume customer,New York,10027,36061,,03802,"Hamilton Heights, Manhattanville & West Harlem"
10028,ZIP Code area,New York,10028,36061,,03805,Upper East Side
10029,ZIP Code area,New York,10029,36061,,03804,East Harlem
10030,ZIP Code area,New York,10030,36061,,03803,Central Harlem
10031,ZIP Code area,New York,10031,36061,,03802,"Hamilton Heights, Manhattanville & West Harlem"
10032,ZIP Code area,New York,10032,36061,,03801,"Washington Heights, Inwood & Marble Hill"
10033,ZIP Code area,New York,10033,36061,,03801,"Washington Heights, Inwood & Marble Hill"
10034,ZIP Code area,New York,10034,36061,,03801,"Washington Heights, Inwood & Marble Hill"
10035,ZIP Code area,New York,10035,36061,,03804,East Harlem
10036,ZIP Code area,New York,10036,36061,,03807,"Chelsea, Clinton & Midtown Business District"
10108,Post Office or large volume customer,New York,10036,36061,,03807,"Chelsea, Clinton & Midtown Business District"
10109,Post Office or large volume customer,New York,10036,36061,,03807,"Chelsea, Clinton & Midtown Business District"
10176,Post Office or large volume customer,New York,10036,36061,,03807,"Chelsea, Clinton & Midtown Business District"
10185,Post Office or large volume customer,New York,10036,36061,,03807,"Chelsea, Clinton & Midtown Business District"
10037,ZIP Code area,New York,10037,36061,,03803,Central Harlem
10038,ZIP Code area,New York,10038,36061,,03810,"Battery Park City, Greenwich Village & Soho"
10272,Post Office or large volume customer,New York,10038,36061,,03810,"Battery Park City, Greenwich Village & Soho"
10273,Post Office or large volume customer,New York,10038,36061,,03810,"Battery Park City, Greenwich Village & Soho"
10292,Post Office or large volume customer,New York,10038,36061,,03810,"Battery Park City, Greenwich Village & Soho"
10039,ZIP Code area,New York,10039,36061,,03803,Central Harlem
